OTU,Mineral,Phylum,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Subgenus,Species
OTU41,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,,,,,,,,Haplosclerida sp. 10
OTU111,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,,,,,,,,Haplosclerida sp. 13
OTU30,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,,,,,,,,Haplosclerida sp. 2
OTU37,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,,,,,,,,Haplosclerida sp. 7
OTU38,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,,,,,,,,Haplosclerida sp. 8
OTU103,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,,,,,,,,,Heteroscleromorpha sp. 1
OTU73,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,,,,Halichondriidae,,Hymeniacidon,,Hymeniacidon chloris
OTU74,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,,,,Halichondriidae,,Hymeniacidon,,Hymeniacidon sp. 2
OTU77,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,,,,Halichondriidae,,Hymeniacidon,,Hymeniacidon sp. 5
OTU94,Non Calcifying,Porifera,Demospongiae,Keratosa,Dictyoceratida,,,,Irciniidae,,Ircinia,,Ircinia sp. 2
OTU15,Calcifying,Porifera,Calcarea,Calcaronea,Leucosolenida,,,,,,,,Leucosolenida sp. 1
OTU14,Calcifying,Porifera,Calcarea,Calcaronea,Leucosolenida,,,,,,,,Leucosolenida sp. 10
OTU1,Calcifying,Porifera,Calcarea,Calcaronea,Leucosolenida,,,,,,,,Leucosolenida sp. 11
OTU2,Calcifying,Porifera,Calcarea,Calcaronea,Leucosolenida,,,,,,,,Leucosolenida sp. 13
OTU98,Calcifying,Porifera,Calcarea,Calcaronea,Leucosolenida,,,,,,,,Leucosolenida sp. 18
